last_price,ask,ask_size,bid,bid_size
908.98,908.98,32.02986191,908.9,7.75009496
908.98,908.98,32.02986191,908.9,16.75009496
908.98,908.98,32.02986191,908.9,16.75009496
908.98,908.98,32.02986191,908.9,16.75009496
908.1,908,1.291,907.9,1.377
908,908,9.77,907.9,5.4217
908,908,9.77,907.93,10
908,908.4,9.77,908.36,9.8747
908.95,908.96,0.331,908.6,6.5971
908.97,908.97,19.27721859,908.71,1.05
908.85,908.85,7.6660831,908.1,6.5909
908.85,908.83,100,908.11,6.5935
908.85,908.48,7.40643544,907,4.0569
908.47,908.5,7.4,906.4,10
908.47,908,7.4,906.91,6.5823
908.47,907.99,7.4,906.9,2.38
908.47,907.91,7.4,907.5,2.37
908.47,907.99,7.4,907.31,2.37
908.47,907.99,7.4,907.5,2.37
908.47,907.99,7.4,907.5,2.37
908.47,907.99,7.4,907.34,6.6097
908.47,907.97,7.4,907.51,10
907.96,907.94,6.31,907.2,6.5962
907.96,907.92,0.331,907.6,6.6043
907.96,907.98,6.31,907,6.5931
907.98,907.98,6.07638289,907.31,6.5778
907.98,907.98,6.07638289,907.1,3.71
907.98,907.98,6.07638289,907.1,3.71
907.98,907.98,6.07638289,907.21,6.6012
907.98,907.98,6.07638289,907.31,3.71
907.98,907.98,6.07638289,907.11,3.71
907.98,907.98,25.9236524,907.01,6.5907
907.98,907.98,25.9236524,907.01,6.5956
907,907,1.25,906.94,3.8851
907,907,1.263,906.94,0.331
907,907,20,906.94,0.331
907,907,9.78,906.94,0.33
907,907,29.78,906.94,0.33
906.94,907,5.258574,906.94,10
906.94,907,20,906.93,10
906.94,906.94,29.78,906.93,10
906.93,906.61,1.35,905.12,0.331
906.93,906.82,9.78,905.11,0.331
906.93,906.31,9.78,904.61,0.331
906.93,905.75,1.268,904.6,6.040163
904.61,904.59,9.78,904.5,0.331
904.61,904.27,1.324,904,0.01
904,903.89,1.29,903.82,0.01231977
903.7,903.7,19.98768023,903.52,3.3
903.7,903.51,13.70633825,903.02,0.332
903.52,903.42,1.301,902.6,7.09522222
903.52,903.42,1.301,902.81,0.331
903.52,903.52,13.5124044,902.9,1.33
903.52,903.52,13.2908328,903,0.3
903.52,903.52,13.2908328,903,0.3
903.52,903.52,12.2310411,903,0.3
902.47,903.42,11.8620411,903,0.01
903,903,14.03966432,902.48,0.332
903,902.9,1.261,902.48,0.332
903,902.5,50,902.48,0.332
901.71,902.4,1.333,901.71,14.23071042
902.4,902.4,49.75243875,901.71,0.332
902.5,902.5,48.79258954,901.81,0.332
901.71,901.71,5.1208,901.7,1.23071042
902.5,902.4,1.367,901.71,0.332
902.5,902.5,47.65051851,901.71,0.332
902.5,902.4,1.27,901.71,0.4657548
901.7,902.5,13.23824864,901.7,0.4657548
902,902,14.02,901.7,0.4657548
902,902,14.02,901.7,0.4657548
901.7,902,1.234,901.7,0.0167548
902,901.9,1.339,901.7,0.0167548
902,901.9,1.254,901.7,0.0167548
902,902,1.266,901.7,0.0167548
902,902,19.9832452,901.7,6.6462
901.7,901.7,19.9427452,901.51,0.332
901.7,901.7,16.9427452,901.4,1.306
901.7,901.7,15.68111324,901.5,0.01
901.7,901.7,15.68111324,901.5,6.6558
901.7,901.7,14.61948128,901.5,0.01
901.7,901.7,14.61948128,901.29,0.01
901.7,901.7,20,901.29,1.32
901.29,901.29,18.91152727,900.1,1.272
901.29,901.29,1.279,900.22,1.342
901.29,901.19,1.302,900.43,1.298
901.19,901.19,19.667,900.44,1.262
900.44,900.44,19.6553065,900.31,0.332
900.44,900.34,19.6553065,900.31,0.332
900.44,900.44,17.49110351,900.31,0.332
900.44,900.44,16.06306575,900.31,0.332
900.44,900.44,14.26415449,900.31,0.332
900.44,900.44,12.02911449,900.31,3.8965
900.44,900.44,9.79843884,900.01,0.333
900.44,900.44,9.79843884,900.01,0.333
900.44,900.44,8.5802555,900,5.00226805
900,900,43.68373195,899.9,7.92
900,900,42.70273195,899.91,0.333
900,900,19.667,899.9,0.01293532
899.91,899.91,18.302,899.55,0.01293532
899.91,899.91,17.405,899.8,9
899.91,899.91,16.302,899.9,5.74
899.91,899.91,16.302,899.9,8.1935
899.91,899.91,10.802,899.81,0.333
899.91,899.9,11.91,899.8,0.01293532
899.91,899.91,9.402,899.8,0.71694263
899.91,899.91,8.335,899.81,0.333
899.91,899.91,7.213,899.8,0.333
899.91,899.91,5.213,899.8,0.333
899.91,899.81,20,899.8,15.58694263
900,900,19.53304,899.8,15.48941363
900,900.44,7.5612555,900.3,9.0434
900.44,900.44,2.4183555,900.3,9
900.3,900.44,10,900.12,0.40780278
902.5,902.4,1.29,901.5,9.2
902.4,902.4,11.07,902.21,1.291
902.11,902.11,10.6491,901.8,8.29887013
902.11,902.11,0.95,902.02,10
902.11,902.11,0.95,902.1,24.8
902.11,902.11,0.95,902.1,19.8
902.11,902.11,0.95,902.1,19.8
903.4,904.29,1.656,904.01,9.78
903.4,904.18,1.763,904.01,9.78
903.4,904.18,1.763,904.11,9.77
903.4,904.17,1.775,904.11,9.77
904.17,904.16,0.333,904.11,9.77
905.29,904.9,0.7126,904.2,6.616
905.79,905.39,0.333,904.52,9.77
905.79,905.28,3.66,904.8,6.6075
905.79,905.28,13.3774,904.8,2
904.8,904.8,13.3774,904.71,2
904.8,904.8,18.17839727,904.71,6.6007
904.71,904.71,18.17839727,904.7,1.71694263
904.71,904.71,18.17839727,904.7,1.71694263
904.71,904.71,18.17839727,904.7,9.77
904.71,904.71,2,904.63,9.77
907,906.9,0.332,905.21,9.76
907,906.6,2,905.7,9.76
907,907,1.261,905.9,14.710809
907,906.9,2,906.41,6.5887
907,907,16.3,906.51,6.5962
907,907,16.3,906.6,6.5945
907,907,16.3,906.51,9.75
907,907,2,906.67,1.71694263
906.9,906.9,14.11418507,906.7,9.75
906.9,906.9,14.11418507,906.71,9.75
906.9,906.9,14.11418507,906.71,9.75
906.71,906.9,14.06418507,906.72,0.33
906.9,906.9,14.06418507,906.81,8.25
906.9,906.9,14.06418507,906.81,8.25
906.81,906.9,14.06418507,906.81,7.75
906.81,907,2,906.92,7.74
906.81,907,2,906.91,6.567946
906.91,907,13.46102873,906.91,8.32444263
906.91,906.91,23.20102873,906.9,1.71694263
906.91,906.91,23.20102873,906.9,1.71694263
906.91,906.91,23.20102873,906.8,1.71694263
906.8,906.91,23.20102873,906.8,0.40137263
906.8,906.91,23.20102873,906.8,0.40137263
906.8,906.91,9.74,906.8,0.40137263
906.8,906.99,9.74,906.8,0.40137263
906.8,906.99,2,906.9,0.40137263
906.8,907,2,906.9,0.40137263
906.8,907,2,906.9,1.683
905.84,906.99,9.74,905.85,0.331
905.84,906.89,9.74,906.12,0.331
905.84,906.88,9.74,906.12,0.331
905.84,906.9,9.74,906.12,0.331
905.84,906.9,9.74,906.4,1.227
905.84,906.76,8.4075,906.6,1.669
907,906.8,9.74,906.76,0.01
906.8,906.8,9.74,906.76,0.01
906.8,906.8,9.74,906.76,0.01
906.8,906.8,9.74,906.76,0.01
906.8,906.8,9.74,906.76,0.01
906.8,906.8,9.74,906.76,0.01
906.8,906.8,9.74,906.76,0.01
906.8,906.8,9.74,906.76,0.01
906.8,906.8,0.175552,906.76,0.01
907.4,907.3,2.77986878,906.76,0.01
907.4,907.4,2.77986878,906.76,0.01
907.4,907.4,2.77986878,906.76,0.01
907.4,907.4,2.77986878,906.76,0.01
907.4,907.4,2.77986878,906.76,0.01
907.4,907.39,9.74,906.8,0.5
907.4,907.39,9.74,906.76,0.01
907.4,907.39,9.74,906.76,0.01
907.39,907.39,9.25927645,906.8,1.352
907.39,907.38,9.26,907.21,0.33
907.39,907.3,5.51,906.8,0.05
907.39,907.38,9.26,906.8,0.05
907.39,907.19,1.375,906.8,0.05
907.39,907.3,2.77986878,906.8,0.331
907.39,906.89,9.26,906.8,0.47996902
907.39,906.89,9.26,906.8,1.82996902
906.89,906.89,9.12,906.8,1.79996902
906.89,906.89,10.753,906.8,2.65096902
906.89,906.89,9.12,906.8,2.31821
905.21,905.9,9.12,905.5,6.6061
905.6,905.78,9.12,905.5,2.4641525
905.6,905.79,9.12,904.91,0.961
905.6,905.77,9.12,905.41,6.6018
906,905.99,8.5365,905.8,9.75
906,906.39,5.4674,905.94,1.314
906,906.3,5.4674,906.21,11.103
906.4,906.4,1.4057,906.22,9.74
906.4,906.9,5.422464,906.33,1.377
906.4,906.8,5.422464,906.7,1.35241205
906.4,906.9,8.67398713,906,9.75
906.4,906.89,2.77986878,906.61,1.33
906.41,907.18,2.77986878,907.1,1.30560306
906.41,907.18,2.77986878,906.5,1.34813444
